song,singer,tempo,energy,sad_weight,happy_weight,energetic_weight,romantic_weight,relaxing_weight,major_feeling,second_major_feeling,similarity,fusion_confidence,generated_timestamp,target_emotion
Shake It Off,Taylor Swift,125,0.85,0.4,1.0,0.75,0.5,0.3,happy,energetic,0,0.2858421918689028,2025-07-28 02:15:12.937767,Happy
Cruel Summer,Taylor Swift,125,0.8,0.0,1.0,0.0,0.6,0.3,happy,romantic,0,0.2858421918689028,2025-07-28 02:15:12.937767,Happy
Treat You Better,Shawn Mendes,100,0.5,0.0,0.1,0.0,1.0,0.0,romantic,happy,0,0.2858421918689028,2025-07-28 02:15:12.937767,Happy
Numb,Linkin Park,130,0.9,0.4,0.6,1.0,0.5,0.0,energetic,happy,0,0.2858421918689028,2025-07-28 02:15:12.937767,Happy
One Kiss (with Dua Lipa),Calvin Harris,124,0.8,0.0,0.6,0.0,0.6,0.0,happy,romantic,0,0.2858421918689028,2025-07-28 02:15:12.937767,Happy
Roar,Katy Perry,130,0.9,0.4,0.6,1.0,0.5,0.0,energetic,happy,0,0.2858421918689028,2025-07-28 02:15:12.937767,Happy
Hips Don't Lie (feat. Wyclef Jean),Shakira,135,0.9,0.0,1.0,1.0,0.5,0.0,energetic,happy,0,0.2858421918689028,2025-07-28 02:15:12.937767,Happy
What Makes You Beautiful,One Direction,128,0.85,0.0,1.0,0.65,0.5,0.0,happy,energetic,0,0.2858421918689028,2025-07-28 02:15:12.937767,Happy
Live While We're Young,One Direction,130,0.88,0.0,1.0,1.0,0.5,0.0,energetic,happy,0,0.2858421918689028,2025-07-28 02:15:12.937767,Happy
Sugar,Maroon 5,125,0.82,0.0,1.0,0.35,0.6,0.3,happy,romantic,0,0.2858421918689028,2025-07-28 02:15:12.937767,Happy
On The Floor,Jennifer Lopez,135,0.9,0.0,1.0,1.0,0.5,0.0,energetic,happy,0,0.2858421918689028,2025-07-28 02:15:12.937767,Happy
You Belong With Me,Taylor Swift,130,0.76,0.4,1.0,0.6,0.6,0.0,happy,energetic,0,0.2858421918689028,2025-07-28 02:15:12.937767,Happy
