song,singer,tempo,energy,sad_weight,happy_weight,energetic_weight,romantic_weight,relaxing_weight,major_feeling,second_major_feeling,major_feeling_lower,second_major_feeling_lower,similarity
Cheap Thrills (feat. Sean Paul),Sia,90,0.85,0.0,0.7,0.35,0.7,0.3,happy,romantic,happy,romantic,-0.43874666046188976
Shape of You,Ed Sheeran,96,0.83,0.0,0.3,0.35,0.7,0.0,romantic,energetic,romantic,energetic,-0.4394641023185109
Sorry,Justin Bieber,100,0.85,0.4,0.3,0.35,0.7,0.1,romantic,sad,romantic,sad,-0.43959508429086747
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,105,0.89,0.0,0.4,0.35,0.5,0.4,romantic,happy,romantic,happy,-0.4396164682460773
Steal My Girl,One Direction,100,0.78,0.0,0.3,0.0,0.8,0.1,romantic,happy,romantic,happy,-0.4402236720097361
No Promises,Shayne Ward,84,0.65,0.2,0.0,0.0,0.9,0.3,romantic,relaxing,romantic,relaxing,-0.44027925136331014
Close,Nick Jonas,106,0.78,0.0,0.3,0.0,0.5,0.0,romantic,happy,romantic,happy,-0.4406200324035404
Maps,Maroon 5,104,0.75,0.4,0.0,0.0,0.5,0.0,romantic,sad,romantic,sad,-0.44075193862411843
Who Says,Selena Gomez & The Scene,125,0.85,0.0,1.0,0.4,0.5,0.3,happy,romantic,happy,romantic,-0.44112129199478206
Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,90,0.6,0.0,0.5,0.0,1.0,0.6,romantic,relaxing,romantic,relaxing,-0.4412409423146308
